iter	MultiClass
0	1.941916199
1	1.937798331
2	1.933750737
3	1.929332367
4	1.924940266
5	1.920520398
6	1.915925018
7	1.911290377
8	1.907533833
9	1.903391697
10	1.899169296
11	1.894464054
12	1.890581703
13	1.886322966
14	1.882425424
15	1.878187733
16	1.874330665
17	1.870307443
18	1.865771688
19	1.861552572
20	1.857470025
21	1.854108217
22	1.85025214
23	1.846155229
24	1.842571744
25	1.838783735
26	1.835331549
27	1.83090365
28	1.827011861
29	1.823473261
30	1.820097947
31	1.816127783
32	1.812832053
33	1.809108468
34	1.806187662
35	1.802089513
36	1.798947172
37	1.795170554
38	1.791149318
39	1.787847157
40	1.784349137
41	1.780646685
42	1.777407784
43	1.773718766
44	1.769519167
45	1.766113359
46	1.762813488
47	1.759888144
48	1.756770823
49	1.753125511
50	1.74914196
51	1.745599477
52	1.742754446
53	1.73986315
54	1.73594592
55	1.732305935
56	1.728948568
57	1.726634918
58	1.723154885
59	1.720468039
60	1.71704297
61	1.71400066
62	1.71068825
63	1.707285348
64	1.70391077
65	1.700495778
66	1.696776136
67	1.693309082
68	1.689804998
69	1.686778105
70	1.683885872
71	1.680708719
72	1.677418222
73	1.674107647
74	1.670908259
75	1.667578956
76	1.665419508
77	1.662302051
78	1.659546471
79	1.656286741
80	1.652815268
81	1.649853417
82	1.647149139
83	1.643887714
84	1.640977874
85	1.637785639
86	1.635524295
87	1.632529932
88	1.629250167
89	1.626206791
90	1.623255323
91	1.620037727
92	1.617102184
93	1.614167217
94	1.611577569
95	1.608736935
96	1.605649433
97	1.602708981
98	1.599863121
99	1.597017376
100	1.593831814
101	1.59043219
102	1.587660048
103	1.58389099
104	1.58071777
105	1.577734469
106	1.574673564
107	1.572034467
108	1.569248234
109	1.566020497
110	1.562904987
111	1.55968176
112	1.556516982
113	1.553685831
114	1.550753336
115	1.547850771
116	1.544326307
117	1.541118148
118	1.538187926
119	1.535165149
120	1.531893108
121	1.52866033
122	1.52516603
123	1.522013644
124	1.518735021
125	1.515445452
126	1.512092992
127	1.508960754
128	1.50574892
129	1.502629763
130	1.499496438
131	1.495769102
132	1.492328885
133	1.488990654
134	1.485661645
135	1.482239165
136	1.479417845
137	1.475916226
138	1.472922822
139	1.469777287
140	1.46608265
141	1.462961101
142	1.460099705
143	1.45678159
144	1.453764659
145	1.450944952
146	1.448382954
147	1.445289776
148	1.441829031
149	1.438951349
150	1.435835291
151	1.433233613
152	1.429830761
153	1.426807015
154	1.424011428
155	1.421613582
156	1.419009184
157	1.416330044
158	1.413228946
159	1.410216779
160	1.407551285
161	1.404638244
162	1.401725054
163	1.399281348
164	1.396187836
165	1.393502019
166	1.390896664
167	1.387945782
168	1.385310607
169	1.3826554
170	1.37963953
171	1.376880428
172	1.374011156
173	1.370919378
174	1.368025938
175	1.365194887
176	1.362218195
177	1.359451393
178	1.356661778
179	1.354385872
180	1.351849762
181	1.349138966
182	1.346595079
183	1.343784265
184	1.340969202
185	1.338048837
186	1.335380172
187	1.332541522
188	1.330023569
189	1.327259543
190	1.324754529
191	1.321909094
192	1.319319229
193	1.31666637
194	1.313614932
195	1.311062792
196	1.308414781
197	1.306191217
198	1.303470956
199	1.301341668
200	1.298754616
201	1.296386422
202	1.29397343
203	1.291477049
204	1.288719392
205	1.285852786
206	1.283404437
207	1.280942424
208	1.27884205
209	1.275937009
210	1.273370346
211	1.270785507
212	1.268227931
213	1.265406772
214	1.26287257
215	1.260750635
216	1.25819135
217	1.255877435
218	1.253801035
219	1.251424742
220	1.249122268
221	1.246658875
222	1.244246591
223	1.24259762
224	1.240870535
225	1.238702365
226	1.236711894
227	1.234678416
228	1.232407008
229	1.230208554
230	1.227973882
231	1.225743812
232	1.223258107
233	1.221117784
234	1.218687378
235	1.216245802
236	1.214228642
237	1.212168672
238	1.210008247
239	1.207571967
240	1.205328566
241	1.202929123
242	1.201023367
243	1.198975045
244	1.196672915
245	1.194216379
246	1.192173287
247	1.189903733
248	1.187584847
249	1.185021014
250	1.182635858
251	1.180842835
252	1.178536478
253	1.176223605
254	1.173968753
255	1.17166247
256	1.169370357
257	1.167291275
258	1.165503387
259	1.163484134
260	1.161150702
261	1.159011123
262	1.156780517
263	1.154631518
264	1.152714529
265	1.151035674
266	1.149244212
267	1.147087399
268	1.144784329
269	1.142861608
270	1.141142307
271	1.138992786
272	1.136853939
273	1.134989754
274	1.13324235
275	1.131058738
276	1.129072196
277	1.127062798
278	1.125118975
279	1.122835494
280	1.120919992
281	1.119334581
282	1.11759635
283	1.115414579
284	1.11385066
285	1.111869703
286	1.109646437
287	1.107650419
288	1.106092658
289	1.103983186
290	1.102248707
291	1.100228603
292	1.098384841
293	1.096247051
294	1.094312506
295	1.092563021
296	1.090741878
297	1.089141042
298	1.086939234
299	1.085214038
300	1.083476061
301	1.081973069
302	1.079809545
303	1.078372992
304	1.07678285
305	1.075178413
306	1.073541861
307	1.07167287
308	1.069589367
309	1.067932997
310	1.065865301
311	1.064449452
312	1.062916155
313	1.061055707
314	1.059417536
315	1.057546273
316	1.056165358
317	1.054142089
318	1.052420361
319	1.050440165
320	1.048684064
321	1.047039231
322	1.045607754
323	1.043736877
324	1.042268226
325	1.040348443
326	1.038256955
327	1.036315329
328	1.034661801
329	1.033061403
330	1.031026179
331	1.029162399
332	1.027204383
333	1.025730819
334	1.023873813
335	1.021918953
336	1.020102396
337	1.018810244
338	1.017121665
339	1.015743834
340	1.014225947
341	1.012527709
342	1.010529667
343	1.009018968
344	1.007220739
345	1.005277153
346	1.003966319
347	1.002298135
348	1.000503146
349	0.9991470564
350	0.9972152857
351	0.9954925769
352	0.993832264
353	0.9921195104
354	0.9903666392
355	0.9887428946
356	0.986852488
357	0.9848058864
358	0.9828785027
359	0.981086647
360	0.9796769353
361	0.9783327717
362	0.9768013027
363	0.9751791025
364	0.9735098849
365	0.9723973887
366	0.9703897467
367	0.9693785713
368	0.9677917877
369	0.9665962575
370	0.9651069374
371	0.963928529
372	0.9623824535
373	0.9609769785
374	0.9595212029
375	0.9580480453
376	0.9568887363
377	0.9552956383
378	0.9537189305
379	0.9524063866
380	0.9506787137
381	0.9490880232
382	0.9478630256
383	0.9462769658
384	0.9451267557
385	0.9437007419
386	0.9422247603
387	0.940960398
388	0.9395177674
389	0.937978377
390	0.9363608779
391	0.9349467433
392	0.9334420193
393	0.9324347477
394	0.9308079634
395	0.9292778085
396	0.9279484722
397	0.9264647595
398	0.9251816968
399	0.92436465
400	0.9229886384
401	0.9215099498
402	0.9203493744
403	0.9192238397
404	0.9176768757
405	0.9161126298
406	0.9144667172
407	0.9134812319
408	0.9124718739
409	0.9109377267
410	0.9096511457
411	0.9082302962
412	0.9071786535
413	0.9060815229
414	0.9048620761
415	0.903659097
416	0.9020952505
417	0.9005678148
418	0.8989495142
419	0.8977344914
420	0.8965648394
421	0.8952064327
422	0.894065599
423	0.892597996
424	0.8917287942
425	0.8901665135
426	0.8891256813
427	0.8874352247
428	0.8862320263
429	0.8849203897
430	0.8833579514
431	0.8820630466
432	0.8807581387
433	0.8796662908
434	0.8784049823
435	0.8771260952
436	0.8757394443
437	0.8745862474
438	0.8732326216
439	0.8719166829
440	0.8706491428
441	0.8693601302
442	0.8683433129
443	0.8668839038
444	0.8652716417
445	0.8640072257
446	0.8629451237
447	0.8614377292
448	0.8604191755
449	0.8588334242
450	0.8572914656
451	0.8557262504
452	0.8545997123
453	0.853458547
454	0.8522021807
455	0.8510645771
456	0.8497790005
457	0.8489392666
458	0.8475566383
459	0.8461320718
460	0.8449690796
461	0.843643857
462	0.8423469877
463	0.8410429399
464	0.8396644266
465	0.8384697824
466	0.8371851585
467	0.8364746248
468	0.8349924008
469	0.8340587669
470	0.8331559715
471	0.8319933252
472	0.8308011772
473	0.8296892141
474	0.8282936032
475	0.8272084336
476	0.8263027271
477	0.8248257695
478	0.8234758391
479	0.8220088567
480	0.8209926888
481	0.820226655
482	0.8188983227
483	0.8174565599
484	0.8165645572
485	0.8156034959
486	0.8144703334
